student_id,cgpa_cumulative,backlogs_count,backlogs_age_max_weeks,branch,entrance_percentile,admission_category,social_category,home_state,schooling_medium,hosteller_flag,mean_attendance_pct,min_attendance_pct,attendance_debarment_threshold,attendance_condonation_band_low,attendance_condonation_band_high,consecutive_absence_streak_max,attendance_trend,timing_of_decline,classes_total_in_sem,classes_conducted_so_far,classes_remaining_in_sem,max_possible_attendance_pct,attendance_debarment_mathematically_certain,avg_pace_score,avg_clarity_score,avg_doubt_resolution_score,avg_teaching_style_fit_score,diagnostic_content_score,diagnostic_delivery_sensitive_score,avg_session_engagement_exposure,vtop_login_freq_per_week,submission_timing_relative,footfall_library_freq_per_week,hostel_curfew_violations,fee_payment_status,scholarship_category,education_loan_status,family_income_bracket,first_gen_college_goer,latent_risk_score,true_dominant_cluster,risk_level,risk_level_label,mentor_flag_category
S00010,5.87,1,2,SCOPE-CSE,56.8,Government Quota,OBC,Delhi-NCR,CBSE,DayScholar,97.4,84.8,65.0,65.0,75.0,2,stable,none,50,10,40,100.0,0,1.0,3.87,2.67,4.21,0.747,0.814,0.702,10.31,-0.96,2.7,,Fee Due >30 Days,No Scholarship,Active Loan (No Stress Flagged),2.5-8 LPA,No,0.1369,financial,0,No Risk,none
S00011,6.92,1,10,SCOPE-CSE,62.7,Management Quota,General,West Bengal,ICSE,Hosteller,54.0,44.4,65.0,65.0,75.0,11,declining,early,50,40,10,64.0,1,-1.0,1.9,3.78,3.92,0.734,0.537,0.0,9.66,-0.57,3.92,3.0,Fully Paid,No Scholarship,No Loan,<2.5 LPA,No,0.309,attendance,3,Withdrawal / Discontinuation Risk,academic
S00012,7.56,0,0,SMEC-MECH,69.1,Government Quota,General,Bihar,ICSE,Hosteller,52.0,51.3,65.0,65.0,75.0,8,recovering,none,50,38,12,64.0,1,0.87,4.83,2.45,4.75,0.77,0.778,0.149,5.56,-0.99,2.28,3.0,Fee Due >30 Days,Merit-Based,Active Loan (Repayment Stress Flagged),<2.5 LPA,Yes,0.3205,attendance,3,Withdrawal / Discontinuation Risk,academic
S00013,6.01,3,32,SCE-CIVIL,59.0,Government Quota,OBC,Delhi-NCR,CBSE,DayScholar,78.6,57.5,65.0,65.0,75.0,5,stable,none,50,10,40,96.0,0,0.06,3.66,2.37,3.73,0.598,0.662,0.386,3.73,-1.77,0.77,,Fully Paid,No Scholarship,No Loan,2.5-8 LPA,No,0.0704,behavioural,0,No Risk,none
S00014,7.39,0,0,SCE-CIVIL,70.7,Management Quota,OBC,Kerala,CBSE,Hosteller,82.7,64.4,65.0,65.0,75.0,4,recovering,none,50,26,24,90.0,0,-0.14,2.72,2.36,4.07,0.902,0.925,0.492,11.36,-0.41,4.87,1.0,Fully Paid,Category-Based,No Loan,2.5-8 LPA,Yes,0.0,behavioural,0,No Risk,none
S00015,8.95,0,0,SMEC-MECH,66.8,Government Quota,OBC,Kerala,CBSE,Hosteller,79.0,76.0,65.0,65.0,75.0,0,stable,none,50,12,38,94.0,0,0.72,5.0,2.32,4.74,0.866,1.0,0.437,14.37,0.03,3.52,1.0,Fully Paid,No Scholarship,No Loan,<2.5 LPA,No,0.0843,visual_engagement,0,No Risk,none
S00016,4.72,6,2,SCE-CIVIL,39.1,Government Quota,General,Other,CBSE,DayScholar,92.4,69.5,65.0,65.0,75.0,14,stable,none,50,41,9,94.0,0,-1.0,2.61,3.67,3.45,0.357,0.427,0.713,6.52,-0.35,4.1,,Fully Paid,No Scholarship,No Loan,2.5-8 LPA,No,0.0651,academic,0,No Risk,none
S00017,9.7,0,0,SBST-BIOTECH,95.0,Management Quota,SC,Karnataka,CBSE,DayScholar,88.6,81.3,65.0,65.0,75.0,2,stable,none,50,33,17,92.0,0,1.0,2.28,5.0,1.75,0.778,0.699,0.523,12.44,0.14,0.0,,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),>8 LPA,No,0.1491,pedagogy,0,No Risk,none
S00018,6.55,0,0,SBST-BIOTECH,81.7,Government Quota,OBC,West Bengal,CBSE,DayScholar,64.6,57.2,65.0,65.0,75.0,4,stable,none,50,41,9,70.0,0,0.03,3.77,3.82,2.87,0.594,0.768,0.221,2.76,1.51,8.1,,Fully Paid,No Scholarship,No Loan,>8 LPA,Yes,0.1147,visual_engagement,0,No Risk,none
S00019,6.78,2,9,SCE-CIVIL,82.9,Government Quota,OBC,Kerala,CBSE,Hosteller,78.0,72.8,65.0,65.0,75.0,1,stable,none,50,21,29,90.0,0,-0.88,4.09,2.34,3.58,0.86,0.882,0.277,8.95,-1.0,2.32,1.0,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),2.5-8 LPA,No,0.1049,visual_engagement,0,No Risk,none
S00020,6.98,0,0,SBST-BIOTECH,55.2,Management Quota,General,Tamil Nadu,CBSE,DayScholar,89.8,79.3,65.0,65.0,75.0,2,recovering,none,50,38,12,92.0,0,-0.38,4.29,2.8,2.98,0.745,0.785,0.712,3.24,-0.93,1.44,,On Installment (Overdue),No Scholarship,Active Loan (No Stress Flagged),<2.5 LPA,Yes,0.1094,financial,0,No Risk,none
S00021,8.29,0,0,SMEC-MECH,74.1,Government Quota,General,Maharashtra,CBSE,Hosteller,88.4,78.9,65.0,65.0,75.0,0,stable,none,50,26,24,94.0,0,-1.0,4.19,2.18,3.3,0.998,0.829,0.405,7.23,1.36,3.57,1.0,Fully Paid,No Scholarship,No Loan,<2.5 LPA,No,0.0313,visual_engagement,0,No Risk,none
S00022,8.85,0,0,SENSE-ECE,86.7,Management Quota,General,Tamil Nadu,CBSE,DayScholar,81.2,79.5,65.0,65.0,75.0,2,stable,none,50,38,12,86.0,0,-0.71,3.51,,2.38,1.0,1.0,0.648,7.24,0.76,4.28,,Fully Paid,Merit-Based,No Loan,<2.5 LPA,Yes,0.0,pedagogy,0,No Risk,none
S00023,7.13,2,4,SMEC-MECH,76.3,Management Quota,OBC,Karnataka,State Board,Hosteller,80.8,79.8,65.0,65.0,75.0,4,declining,early,50,6,44,98.0,0,1.0,4.39,3.57,3.44,0.683,0.644,0.49,6.76,-1.35,4.02,2.0,On Installment (On-Time),Merit-Based,No Loan,2.5-8 LPA,No,0.0806,behavioural,0,No Risk,none
S00024,8.87,0,0,SENSE-ECE,80.7,Management Quota,General,West Bengal,CBSE,Hosteller,73.1,65.2,65.0,65.0,75.0,10,declining,late,50,22,28,88.0,0,0.2,3.77,,2.92,1.0,0.922,0.177,4.41,-0.07,3.06,2.0,Fully Paid,Category-Based,Active Loan (Repayment Stress Flagged),>8 LPA,No,0.1351,visual_engagement,0,No Risk,none
S00025,10.0,0,0,SBST-BIOTECH,96.4,Management Quota,General,Bihar,ICSE,Hosteller,84.4,67.0,65.0,65.0,75.0,4,stable,none,50,31,19,90.0,0,-0.29,3.01,3.33,3.68,1.0,1.0,0.595,4.19,0.57,1.04,0.0,Fully Paid,Category-Based,No Loan,<2.5 LPA,No,0.0,attendance,0,No Risk,none
S00026,7.68,0,0,SCE-CIVIL,74.3,Management Quota,OBC,Uttar Pradesh,State Board,Hosteller,77.3,64.0,65.0,65.0,75.0,10,recovering,none,50,47,3,78.0,0,-0.89,2.33,3.62,4.64,0.703,0.42,0.269,7.5,-0.66,2.18,0.0,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),<2.5 LPA,Yes,0.1741,visual_engagement,0,No Risk,none
S00027,7.47,0,0,SMEC-MECH,76.5,Management Quota,General,Karnataka,State Board,Hosteller,67.1,65.9,65.0,65.0,75.0,6,stable,none,50,15,35,90.0,0,0.79,4.66,,2.44,0.827,1.0,0.145,9.05,-0.97,3.24,5.0,Fee Due >30 Days,No Scholarship,Active Loan (No Stress Flagged),>8 LPA,Yes,0.3211,financial,3,Withdrawal / Discontinuation Risk,financial
S00028,6.39,0,0,SBST-BIOTECH,57.7,Government Quota,EWS,Tamil Nadu,CBSE,Hosteller,83.5,80.3,65.0,65.0,75.0,0,recovering,none,50,40,10,86.0,0,-1.0,1.78,3.83,2.24,0.533,0.608,0.477,16.73,-0.1,3.82,0.0,Fully Paid,Institutional Need-Based,No Loan,>8 LPA,Yes,0.0017,pedagogy,0,No Risk,none
S00029,8.36,0,0,SENSE-ECE,88.9,Management Quota,General,Kerala,State Board,DayScholar,93.3,89.3,65.0,65.0,75.0,2,stable,none,50,45,5,94.0,0,-1.0,3.73,3.71,4.03,0.625,0.695,0.596,8.55,0.77,5.96,,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),2.5-8 LPA,No,0.0717,financial,0,No Risk,none
S00030,8.19,0,0,SBST-BIOTECH,87.4,Government Quota,General,Karnataka,State Board,Hosteller,75.5,57.2,65.0,65.0,75.0,4,stable,none,50,13,37,94.0,0,-0.4,1.84,2.18,3.45,0.778,0.687,0.529,11.02,0.22,3.82,2.0,Fully Paid,Merit-Based,No Loan,>8 LPA,Yes,0.0062,pedagogy,0,No Risk,none
S00031,7.51,1,17,SCOPE-CSE,82.3,Management Quota,ST,Andhra Pradesh,CBSE,Hosteller,79.2,68.6,65.0,65.0,75.0,4,recovering,none,50,44,6,82.0,0,-0.76,3.94,3.08,3.51,1.0,0.909,0.669,9.95,0.31,3.24,1.0,On Installment (On-Time),No Scholarship,No Loan,<2.5 LPA,Yes,0.0477,academic,0,No Risk,none
S00032,8.74,0,0,SENSE-ECE,96.7,Government Quota,General,Maharashtra,State Board,Hosteller,95.8,89.5,65.0,65.0,75.0,2,recovering,none,50,8,42,100.0,0,-0.12,3.93,3.42,2.99,0.664,0.556,0.737,9.17,-0.7,3.02,4.0,On Installment (On-Time),No Scholarship,No Loan,2.5-8 LPA,No,0.0636,behavioural,0,No Risk,none
S00033,7.09,3,9,SBST-BIOTECH,82.8,Management Quota,SC,Kerala,ICSE,Hosteller,74.9,74.1,65.0,65.0,75.0,0,stable,none,50,8,42,96.0,0,0.36,3.5,3.04,3.22,0.668,0.871,0.438,7.77,-1.8,1.21,2.0,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),2.5-8 LPA,No,0.2441,behavioural,2,Attendance-Debarment Risk,psychosocial
S00034,3.81,3,2,SMEC-MECH,40.2,Government Quota,ST,Tamil Nadu,International,Hosteller,67.3,56.9,65.0,65.0,75.0,6,recovering,none,50,46,4,70.0,0,-1.0,2.08,2.9,3.15,0.155,0.011,0.269,15.87,2.1,2.18,0.0,Fully Paid,Merit-Based,No Loan,2.5-8 LPA,No,0.1902,diagnostic,1,Backlog / Academic-Probation Risk,pedagogical
S00035,7.93,0,0,SENSE-ECE,77.2,Government Quota,OBC,Uttar Pradesh,State Board,Hosteller,63.5,57.3,65.0,65.0,75.0,7,declining,late,50,43,7,68.0,0,1.0,4.51,,4.15,1.0,1.0,0.187,7.22,1.38,0.88,2.0,Fully Paid,No Scholarship,No Loan,<2.5 LPA,Yes,0.1145,visual_engagement,0,No Risk,none
S00036,7.91,0,0,SCOPE-CSE,88.3,Government Quota,General,Other,State Board,Hosteller,65.7,52.7,65.0,65.0,75.0,7,stable,none,50,27,23,82.0,0,0.63,2.6,4.1,2.82,0.875,0.911,0.291,6.63,-1.28,3.17,2.0,On Installment (Overdue),No Scholarship,Active Loan (Repayment Stress Flagged),2.5-8 LPA,Yes,0.2264,financial,1,Backlog / Academic-Probation Risk,financial
S00037,8.49,1,5,SCE-CIVIL,90.7,Government Quota,OBC,Andhra Pradesh,CBSE,Hosteller,69.3,59.1,65.0,65.0,75.0,6,stable,none,50,9,41,94.0,0,-0.39,4.5,4.18,2.95,0.842,0.905,0.293,11.49,0.55,4.19,1.0,Fully Paid,No Scholarship,No Loan,<2.5 LPA,No,0.096,visual_engagement,0,No Risk,none
S00038,8.26,0,0,SENSE-ECE,71.7,Government Quota,General,Maharashtra,CBSE,Hosteller,79.7,69.8,65.0,65.0,75.0,9,stable,none,50,12,38,96.0,0,-0.32,1.37,4.23,1.82,0.727,0.529,0.381,10.16,-2.18,4.23,1.0,Fully Paid,Institutional Need-Based,No Loan,2.5-8 LPA,Yes,0.188,pedagogy,1,Backlog / Academic-Probation Risk,pedagogical
S00039,7.22,0,0,SCE-CIVIL,64.9,Government Quota,OBC,Bihar,CBSE,Hosteller,70.9,62.9,65.0,65.0,75.0,5,stable,none,50,7,43,96.0,0,0.77,3.79,3.16,4.14,0.44,0.372,0.514,10.81,0.31,6.72,0.0,Fully Paid,Merit-Based,No Loan,2.5-8 LPA,Yes,0.0,diagnostic,0,No Risk,none
S00040,8.42,0,0,SENSE-ECE,59.5,Government Quota,EWS,West Bengal,State Board,DayScholar,64.5,62.0,65.0,65.0,75.0,4,stable,none,50,12,38,92.0,0,-0.3,2.99,3.02,3.02,0.979,0.806,0.448,8.86,0.28,0.75,,On Installment (On-Time),No Scholarship,Active Loan (No Stress Flagged),>8 LPA,No,0.0,financial,0,No Risk,none
S00041,7.77,0,0,SENSE-ECE,74.6,Management Quota,EWS,Delhi-NCR,CBSE,Hosteller,76.2,61.3,65.0,65.0,75.0,5,stable,none,50,9,41,96.0,0,-0.87,3.84,2.56,4.88,0.696,0.784,0.237,15.59,0.5,2.64,2.0,On Installment (Overdue),No Scholarship,No Loan,2.5-8 LPA,No,0.1967,financial,1,Backlog / Academic-Probation Risk,financial
S00042,7.9,0,0,SBST-BIOTECH,74.9,Management Quota,EWS,Uttar Pradesh,State Board,Hosteller,100.0,93.1,65.0,65.0,75.0,1,stable,none,50,38,12,100.0,0,-0.17,3.89,3.5,2.49,0.914,1.0,0.779,12.24,-0.37,1.14,0.0,Fully Paid,No Scholarship,No Loan,>8 LPA,No,0.0862,pedagogy,0,No Risk,none
S00043,7.19,1,27,SCE-CIVIL,65.0,Management Quota,OBC,Tamil Nadu,ICSE,Hosteller,74.1,73.0,65.0,65.0,75.0,1,stable,none,50,23,27,88.0,0,-0.09,5.0,5.0,3.76,0.863,0.891,0.338,10.88,0.89,3.08,1.0,Fully Paid,No Scholarship,No Loan,2.5-8 LPA,No,0.0367,visual_engagement,0,No Risk,none
S00044,9.03,1,2,SENSE-ECE,72.6,Government Quota,EWS,Karnataka,CBSE,DayScholar,68.3,65.4,65.0,65.0,75.0,6,declining,early,50,18,32,88.0,0,-0.02,2.88,2.91,2.3,0.951,0.83,0.468,5.96,-0.67,1.75,,On Installment (Overdue),No Scholarship,Active Loan (No Stress Flagged),<2.5 LPA,No,0.3353,financial,3,Withdrawal / Discontinuation Risk,financial
S00045,7.67,0,0,SENSE-ECE,77.0,Government Quota,General,Other,CBSE,DayScholar,95.7,91.2,65.0,65.0,75.0,4,recovering,none,50,31,19,98.0,0,-0.19,3.31,4.49,4.6,0.742,0.544,0.732,11.67,0.21,4.96,,Fully Paid,Category-Based,Active Loan (No Stress Flagged),>8 LPA,No,0.1586,financial,0,No Risk,none
S00046,7.94,0,0,SENSE-ECE,71.1,Government Quota,OBC,Uttar Pradesh,State Board,Hosteller,86.6,82.7,65.0,65.0,75.0,0,declining,late,50,45,5,88.0,0,-0.29,2.12,2.5,4.17,0.915,0.857,0.519,10.42,-0.92,0.71,0.0,Fully Paid,No Scholarship,No Loan,2.5-8 LPA,Yes,0.0211,pedagogy,0,No Risk,none
S00047,7.8,1,1,SMEC-MECH,80.1,Management Quota,General,Delhi-NCR,State Board,Hosteller,84.6,83.6,65.0,65.0,75.0,2,stable,none,50,21,29,94.0,0,0.75,2.52,1.77,1.99,0.754,0.656,0.591,10.86,0.22,3.48,0.0,Fully Paid,Category-Based,No Loan,<2.5 LPA,Yes,0.1252,pedagogy,0,No Risk,none
S00048,8.11,1,9,SCE-CIVIL,82.6,Government Quota,General,Karnataka,ICSE,Hosteller,100.0,60.2,65.0,65.0,75.0,4,declining,early,50,32,18,100.0,0,0.61,4.68,,4.53,0.46,0.703,0.745,12.73,-1.32,1.34,1.0,On Installment (On-Time),Category-Based,No Loan,>8 LPA,No,0.0,behavioural,0,No Risk,none
S00049,6.02,0,0,SCOPE-CSE,82.5,Government Quota,OBC,Uttar Pradesh,CBSE,Hosteller,71.7,60.7,65.0,65.0,75.0,4,stable,none,50,34,16,80.0,0,-0.19,1.93,1.36,4.15,0.621,0.807,0.285,9.69,1.7,5.38,0.0,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),2.5-8 LPA,No,0.1446,visual_engagement,0,No Risk,none
S00050,7.72,0,0,SMEC-MECH,81.8,Management Quota,OBC,Other,State Board,Hosteller,67.7,64.6,65.0,65.0,75.0,5,declining,late,50,20,30,88.0,0,-0.43,3.75,4.26,2.87,0.536,0.436,0.313,6.25,0.31,2.07,2.0,Fully Paid,Institutional Need-Based,Active Loan (No Stress Flagged),2.5-8 LPA,No,0.0976,financial,0,No Risk,none
S00051,8.55,0,0,SBST-BIOTECH,78.9,Government Quota,OBC,Bihar,State Board,DayScholar,81.5,75.8,65.0,65.0,75.0,1,stable,none,50,14,36,94.0,0,0.84,2.1,5.0,4.53,0.87,0.731,0.452,10.22,-0.06,2.82,,On Installment (On-Time),Merit-Based,No Loan,<2.5 LPA,No,0.0193,pedagogy,0,No Risk,none
S00052,6.85,0,0,SCE-CIVIL,62.7,Management Quota,General,Karnataka,CBSE,DayScholar,73.1,69.7,65.0,65.0,75.0,7,declining,early,50,44,6,76.0,0,-0.53,2.93,3.99,5.0,1.0,0.894,0.439,6.47,-0.88,1.74,,Fully Paid,No Scholarship,No Loan,<2.5 LPA,No,0.214,behavioural,1,Backlog / Academic-Probation Risk,psychosocial
S00053,7.15,1,17,SCE-CIVIL,68.2,Management Quota,OBC,Other,CBSE,DayScholar,87.7,83.7,65.0,65.0,75.0,1,recovering,none,50,26,24,94.0,0,0.97,4.61,3.63,4.42,0.466,0.546,0.61,8.6,-1.95,2.35,,On Installment (On-Time),Merit-Based,No Loan,2.5-8 LPA,Yes,0.0375,behavioural,0,No Risk,none
S00054,7.21,0,0,SMEC-MECH,68.9,Management Quota,OBC,Kerala,ICSE,DayScholar,56.3,49.9,65.0,65.0,75.0,7,declining,late,50,30,20,74.0,0,0.53,4.43,3.01,1.29,0.836,1.0,0.34,7.36,0.57,4.72,,On Installment (On-Time),Institutional Need-Based,Active Loan (No Stress Flagged),<2.5 LPA,Yes,0.1892,pedagogy,1,Backlog / Academic-Probation Risk,pedagogical
S00055,8.09,0,0,SMEC-MECH,83.7,Management Quota,General,Maharashtra,State Board,Hosteller,90.5,73.8,65.0,65.0,75.0,1,stable,none,50,37,13,94.0,0,-0.89,3.12,2.59,3.63,0.764,0.837,0.662,7.92,-0.27,5.09,0.0,Fully Paid,Merit-Based,No Loan,>8 LPA,No,0.0163,behavioural,0,No Risk,none
S00056,7.85,0,0,SCE-CIVIL,71.9,Government Quota,OBC,Kerala,CBSE,Hosteller,67.2,57.4,65.0,65.0,75.0,5,stable,none,50,20,30,86.0,0,-1.0,4.22,2.8,3.5,0.484,0.572,0.245,10.6,-1.66,4.09,1.0,Fully Paid,Merit-Based,No Loan,2.5-8 LPA,No,0.0809,visual_engagement,0,No Risk,none
S00057,6.09,2,17,SMEC-MECH,58.9,Government Quota,SC,Other,International,DayScholar,66.6,53.7,65.0,65.0,75.0,4,stable,none,50,31,19,80.0,0,-1.0,2.88,2.95,1.93,0.445,0.542,0.136,12.39,-0.16,0.62,,Fully Paid,Institutional Need-Based,No Loan,<2.5 LPA,No,0.0996,visual_engagement,0,No Risk,none
S00058,7.58,1,19,SCE-CIVIL,94.4,Management Quota,EWS,Karnataka,State Board,Hosteller,51.8,45.9,65.0,65.0,75.0,4,stable,none,50,19,31,82.0,0,-0.7,5.0,3.57,1.62,0.66,0.782,0.095,12.22,-1.3,2.43,3.0,Fully Paid,No Scholarship,No Loan,<2.5 LPA,No,0.2369,visual_engagement,1,Backlog / Academic-Probation Risk,pedagogical
S00059,7.04,0,0,SCE-CIVIL,71.5,Government Quota,OBC,Uttar Pradesh,State Board,Hosteller,98.9,88.8,65.0,65.0,75.0,0,stable,none,50,21,29,100.0,0,-0.2,2.71,3.52,2.63,0.583,0.433,0.736,11.64,0.13,4.93,1.0,On Installment (On-Time),Category-Based,Active Loan (Repayment Stress Flagged),<2.5 LPA,No,0.1019,financial,0,No Risk,none
S00060,6.6,1,21,SCOPE-CSE,78.8,Government Quota,OBC,Bihar,International,Hosteller,77.9,73.6,65.0,65.0,75.0,0,stable,none,50,9,41,96.0,0,0.47,3.98,2.43,3.53,0.65,0.565,0.302,11.2,-2.7,3.41,2.0,On Installment (Overdue),No Scholarship,No Loan,2.5-8 LPA,Yes,0.135,behavioural,0,No Risk,none
S00061,8.5,0,0,SENSE-ECE,79.4,Government Quota,General,West Bengal,ICSE,Hosteller,86.0,84.9,65.0,65.0,75.0,3,stable,none,50,15,35,96.0,0,0.29,4.08,,1.59,0.76,0.705,0.386,15.17,0.17,3.76,1.0,Fee Due >30 Days,Merit-Based,No Loan,<2.5 LPA,Yes,0.0308,financial,0,No Risk,none
S00062,7.31,0,0,SBST-BIOTECH,71.1,Government Quota,General,Andhra Pradesh,State Board,Hosteller,84.6,80.7,65.0,65.0,75.0,4,recovering,none,50,44,6,86.0,0,-0.08,3.03,3.81,3.6,0.825,0.84,0.645,10.28,0.68,4.74,1.0,Fully Paid,Institutional Need-Based,Active Loan (No Stress Flagged),<2.5 LPA,No,0.0396,financial,0,No Risk,none
S00063,7.92,0,0,SCE-CIVIL,96.0,Government Quota,General,Karnataka,CBSE,Hosteller,85.9,81.4,65.0,65.0,75.0,8,stable,none,50,43,7,88.0,0,0.62,4.06,2.41,3.47,0.788,0.86,0.824,8.43,0.32,5.14,0.0,On Installment (On-Time),Institutional Need-Based,Active Loan (No Stress Flagged),<2.5 LPA,No,0.126,financial,0,No Risk,none
S00064,8.79,0,0,SCOPE-CSE,79.8,Government Quota,OBC,Other,CBSE,Hosteller,68.7,56.1,65.0,65.0,75.0,4,stable,none,50,16,34,90.0,0,0.59,2.65,,3.62,0.97,0.986,0.29,12.03,-0.84,1.96,2.0,On Installment (On-Time),Sports-Cultural Quota,No Loan,<2.5 LPA,No,0.0417,visual_engagement,0,No Risk,none
S00065,6.26,2,10,SBST-BIOTECH,65.8,Management Quota,General,Karnataka,State Board,Hosteller,100.0,90.9,65.0,65.0,75.0,0,recovering,none,50,37,13,100.0,0,0.01,3.38,5.0,3.95,0.735,0.661,0.58,9.11,0.07,0.0,0.0,Fully Paid,Merit-Based,No Loan,2.5-8 LPA,Yes,0.0563,academic,0,No Risk,none
S00066,8.24,1,1,SCE-CIVIL,91.2,Management Quota,EWS,Maharashtra,CBSE,Hosteller,67.6,66.6,65.0,65.0,75.0,4,stable,none,50,36,14,76.0,0,-1.0,3.59,3.39,2.61,0.659,0.712,0.394,11.24,2.09,3.55,2.0,Fully Paid,Category-Based,Active Loan (Repayment Stress Flagged),2.5-8 LPA,Yes,0.1037,financial,0,No Risk,none
